given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,id,cluster_id
benjamin,wbeb,10.0,giliruk drescent,cherry court,balwyn north,3622,nsw,19860415.0,1396032,42446,609
ashlie,mason,3.0,sinclair street,young retirement village,flagstaff hill,3201,nsw,19540731.0,4277141,71043,476
keeley,felmingham,32.0,angliss place,cranbrnook,annandale,2640,nsw,19860811.0,5148092,37626,259
jaiden,rollins,95.0,rossarden street,tulgewyood,balwyn north,2224,nt,19280722.0,7626396,97755,181
thomas,milburn,12.0,sheehy street,witsend,kilcoy,6153,sa,19080629.0,6861021,2476,610
jordan,vaile,12.0,postle circuit,rosewynne,mansfield,4152,qld,19250617.0,7672358,53310,85
emiily,richmond,135.0,kalgoorlie crescent,peppertree,lilydale,3031,nsw,19590607.0,5444497,35955,611
emiily,croker,15.0,castletonc rescent,montrose,como,4214,nsw,19461118.0,6056886,73222,612
aalijah,huddy,60.0,currong street,chactro,wellingtn point,2232,sa,19960324.0,1091178,72245,613
patrick,dargaville,18.0,rosdeale,ceruttycrescent,st lucia,3364,,19770925.0,5982994,85831,614
jonai,nguyen,8.0,dalley crescent,the palms village,kingaroy,2607,nsw,19591019.0,9550940,24240,155
emmerson,lock,5.0,gordal e,burnie syreet,thursday island,3147,vic,19211129.0,3901477,74880,82
sophie,nicolle,112.0,garling street,spring creek,kotar a,4740,nt,19111001.0,7492384,14911,41
oliver,pennell,25.0,hardman street,t int-sect garden,cranbourne,2830,nsw,19880825.0,9401054,47686,615
novak,benjamni,39.0,port jackson circuit,sherw ood,dapot,6163,nt,19010630.0,6037504,52517,616
oliver,salt,25.0,mcmillan crescent,halls of residence monash university,coffs harbour,7310,qld,19311218.0,7369494,68489,594
ryan,matthews,66.0,leist street,clarence chambers,torquay,3549,wa,19330505.0,6234085,40816,573
christopher,coleman,,fisk street,shopping centre,north ryde,2710,sa,19940821.0,7652642,7920,367
joe,hammer,15.0,amble side garden,wynn place,burnett heads,2200,qld,19420902.0,4437138,46087,617
briony,dunst ohe,42.0,badham street,attunga orchard,macquarie fields,3190,wa,19340729.0,7461019,56766,418
callum,camens,35.0,latchford street,northwest medical centre,cloverdale,2481,tas,19810925.0,5181189,14234,618
phoebe,berryman,25.0,badimara street,garden est,toronto,3146,qld,19241130.0,3676248,89703,619
chloe,crossman,73.0,shenton crescent,sec 209 clifton farm,south melbourne,2324,vic,19680424.0,5536009,80001,620
carly,hage,67.0,tasmania circle,palm lake resort,queenscliff,2121,wa,19710623.0,3938642,68321,621
william,tettmar,7.0,horrocks street,leveritt park,baskerville,3781,qld,19610318.0,7560544,82430,622
thomas,pegg,6.0,bath place,fourways,irwin,3931,nsw,19980508.0,2265577,64137,623
matthew,humphreys,25.0,adamson crescent,villa 2,mannum,3942,nsw,19770818.0,9283013,57841,624
callu,jankus,132.0,mcgivern cfescent,wyncliffe,sylavnia,3187,nsw,19930925.0,5175345,71258,625
natasha,rizzo,10.0,aspinall street,locn 105,stanhope gardens,2770,vic,19950211.0,3892183,74734,626
jack,morcom,12.0,schomburgk street,warrumbungle,villawood,3018,tas,19800912.0,9689848,54622,627
samuel,coleman,60.0,backhouse street,barwhalla,quorn,3147,nsw,19541004.0,8477487,37646,628
connor,kang,4.0,castles place,glennhill,dunsborough,3228,vic,19630915.0,6049682,5969,629
liam,shobdn,,sheehy street,part set 231,kardiya,3182,qld,19220917.0,4177703,54571,394
briony,koerbin,146.0,violet grover place,wybelanah,mill park,2446,nsw,19210210.0,3808808,31604,630
georgia,ryan,38.0,cullen street,balmoral garden,emu plains,4068,nsw,19401127.0,9581805,15296,631
chelsea,colquhoun,22.0,tillyard drive,rowethorpe,noarlunga downs,2800,nsw,19690220.0,4088606,81288,632
jordan,fostiak,101.0,dutton street,munmurra park,lower templestowe,2298,vic,19800425.0,6808199,22144,633
joshua,shepherdson,32.0,tenison-woods circuit,boronia lodge,glen innes,5211,qld,19100930.0,8400597,22872,634
jesse,bloomfield,12.0,allambee street,grandview,mitcham,5290,nsw,19150202.0,6350104,86043,635
thomas,reid,98.0,booroondara street,locn 1025,pampas,2086,qld,19570305.0,8218296,61601,636
ameila,blake,,halfrey circuit,,shoalhaven heads,6162,sa,19880506.0,4642758,37817,637
aidan,horsley,,rosenthal street,wattle brae,irvingdale,3082,vic,19161004.0,9900834,6577,638
tabitha,boschma,1927.0,osborne place,port 124,taren point,3205,vic,19450311.0,9358031,35665,639
jack,kubenk,36.0,dryandra street,ravensfield,mclaren vale,2106,vic,19860307.0,8987466,96885,640
graec,szocinski,16.0,neeld alce,treasalee,wyoming,3501,wa,19670723.0,9584513,47564,641
jasmne,hodgeens,399.0,burttcrescent,yammacoona,maryborough,6006,qld,19970618.0,8417307,42972,642
bailee,dent,58.0,maddock place,jingara,nowra,4171,qld,19950112.0,4080299,33153,67
,rundle,5.0,beaumont c lose,,coonabavrabran,4020,vic,19640105.0,8384590,54451,643
mason,zachary,16.0,,st john of g od hospital,camira,2120,qld,19300102.0,1373543,90472,644
max,burman,10.0,minter place,mooresley,nunawading,7011,nsw,19940510.0,5401824,18227,645
judah,jeffries,,condamin e street,tinaroo falls,canterbury,2162,nsw,19350906.0,6982133,92090,646
michael,laverty,6.0,lenehan street,sennocke,suffolk park,2208,vic,19631213.0,9807797,69463,117
eliza,tiffin,8.0,brawn place,,northbridge,2017,vic,19131019.0,9311089,60940,300
,stubbs,127.0,jardine street,delmar,greenacre,3198,vic,19190221.0,5139556,42797,647
harrison,schumann,24.0,monaro crescent,donnelly rvr villg,oakleigh,2281,nsw,19991013.0,9551413,16959,192
aimee,trzconski,117.0,jacobs street,blue hills,frankston,2198,nsw,19280418.0,8941279,44154,343
emiily,bullock,251.0,ivo whitton circuit,kacwdoo,blackburn north,3906,nsw,19470901.0,2457694,65979,648
lachlan,hyland,16.0,colebatch place,penquiteroad,new lambton heights,4305,qld,19340129.0,6484656,983,649
ethan,pringle,2.0,o'connell street,canberra hse,urana,5108,tas,19510914.0,6472293,69662,650
flynn,cresp,,nambucc a street,rowethorpe,sandy bay,2768,vic,19761117.0,2624663,68406,313
jaykob,clarke,75.0,mileham st reet,kimbreley,daby,2107,wa,19000919.0,9245272,26026,651
mason,caitlin,451.0,oakey creek road,moodnah,newstead,3035,nsw,19250317.0,2470308,81200,652
webb,sam,5.0,deamer crescent,belaradah,west lakes shore,2570,wa,19880611.0,4408444,61202,653
samara,willing,,,cool inda,concord,3765,nsw,19270204.0,1045315,71051,276
jade,browne,12.0,noble clse,circle h,avoca,3180,qld,19921015.0,1314590,63346,654
,,24.0,,woorinyan,riverwood,3749,qld,19180205.0,9341716,13932,655
casey,dent,61.0,lubuma place,tressing fields,st ives,5171,vic,19210430.0,8293083,32157,604
william,mcclelland,45.0,sparkes close,opal cove resort,bowen mountain,6100,wa,19620103.0,1937435,70974,374
joshua,harbottle,1.0,mainwaring rich circuit,uralgurral,belmont,5098,qld,19930324.0,2785166,32279,540
rosa,prar,40.0,nicholson crescent,vill 32,mountf evelyn,2200,nsw,19080409.0,8467968,88643,656
beau,tongyode,195.0,dingo flats,tourist park,gray,3620,vic,19071010.0,8299710,41844,657
karla,rump,39.0,hilder street,killarney,normanhurst,3219,wa,19010414.0,4005188,21599,658
zachary,owerko,4.0,bendigo street,maroubra beach,maclean,2756,vic,19470101.0,4914201,26114,659
parr,rosa,40.0,nicholson crescent,villa 32,mount evelyn,2200,nsw,19080409.0,8467968,51211,660
shelbey,matthews,48.0,learmonth drive,dolphin arcade,sanctuary point,2289,nsw,19440419.0,3598907,19909,661
lucsa,ryan,71.0,walker crescent,brackengrae,belrose,5024,vic,19840323.0,6371124,96973,662
tyler,morrison,22.0,captain cook crescent,warraberry,rowville,6056,qld,19840630.0,1518425,27714,663
jassim,pasaricek,20.0,carron street,posetto,yunta,2210,sa,19861109.0,8613365,92599,664
,kiss,21.0,pialligo avenue,caravn park,,2530,vic,19310218.0,3431125,65644,665
webb,xani,5.0,len water ss ctreet,willmont park,boweral,2615,wa,19911101.0,8286026,14304,666
jenna,rodaro,,livingston avenue,st franis room,mooroolbark,3977,qls,19830926.0,8979554,34871,667
aidan,blackcwell,2.0,crosshills,eddy crescent,white patch,2121,vic,19980911.0,5406026,65498,668
campbell,matthews,95.0,derrington crescent,the meajdows,centennial park,2073,nsw,19750315.0,3771528,1612,669
chloe,lovelock,52.0,healy street,wandary hill,springvale south,2528,act,19370419.0,8539701,41698,670
annabdlle,weetra,4.0,firbank close,fronda,riverhills,2025,sa,19490420.0,4285598,3355,603
luke,snelling,134.0,postle circuit,white lodge,penrith,2283,nsw,19310131.0,3695855,56513,671
joel,bishop,15.0,mcluckie crescent,allawah flats,branxton,2340,,19880214.0,5188002,62561,672
maddisvn,braithwaite,15.0,rosman circuit,,nhill,7237,nsw,19080131.0,9913172,27777,673
ella,cannell,18.0,mainwaring rich circuit,kincumber nautical vlge,asquith,4075,nsw,19570915.0,2076456,6287,674
kelsy,ketelaars,19.0,eldershaw place,brindabella specialist centre,burrum heads,7249,qld,19200423.0,9930712,61266,675
marcus,rei,290.0,geil s court,cambri vlge,narembjrn,6020,nsw,19400624.0,3592731,31190,387
liam,laing,7.0,theodore street,,padstow,6004,vic,19391123.0,4137134,42858,676
sonja,kleve,28.0,dallachy place,copely,keon park,4362,nsw,19880528.0,7042108,67571,677
george,blam,15.0,mcdonald street,burnside,mount eliza,6567,vic,19730806.0,3873535,34729,678
joel,ejlak,61.0,eppalock street,brentwood vlge,taigum,2644,nsw,19351102.0,1021508,48160,679
natalia,george,22.0,glenview,woollum street,morweul,6056,wa,19540306.0,7746839,47005,252
isabella,nguyen,16.0,wilshire street,erinsvale,rose bay,6207,vic,19760517.0,8693348,56066,680
meg,fauser,2.0,bimbiang crescent,garden creek,labrador,4034,qld,,3103165,73677,365
liersch,michael,29.0,hallstrom circuit,,northampton,4405,nsw,19360816.0,8185284,26811,681
danik a,alhabsji,2.0,ewing street,oak dale,toowoomba,2161,vic,19020325.0,2643761,42258,682
connor,rawlings,70.0,corin pace,oxford,kuraby,4216,qld,19330925.0,2464828,45835,158
bailey,dogg,,atherton street,golden lea,orange,6014,vic,19470823.0,3660677,9146,683
elton,waller,37.0,blacket street,,st kilda east,3221,wq,19920706.0,7876568,66255,684
joshua,leppard,4.0,murranji street,villa 19,erindale,6057,vic,19490620.0,2307117,96856,685
bradley,bishop,14.0,newman morris circuit,shiloah,wickepih,2711,wa,19420604.0,2961403,34202,686
demie,madigan,,fawkne street,evergreen,bunyip,6007,sa,19940729.0,5071854,91777,526
timothy,ebert,8.0,devonport street,mount patrick,somerset,6105,nsw,19450222.0,4573952,1606,687
emiily,bullock,57.0,ivo whitto n circuit,kacadoo,blackburn north,3746,nsw,19470901.0,2457694,84562,648
kyle,bizjak,60.0,ferrier place,yarrimbah,boyanup,3074,nsw,19701103.0,5773280,31750,688
zachary,owerko,4.0,bendigo ttreet,maroubra beach,maclean,2756,vic,19470101.0,4914201,38961,659
mackenzie,nicolle,16.0,snowden place,windsor lodge,greenhill,2152,nsw,19420118.0,2858815,68136,689
izaac,quill,10.0,lexcen avenue,lochenfels,redbank plains,2731,wa,19600320.0,9582347,10149,690
tahlia,vacchiani,67.0,newland street,tahmoor,blackbutt,2304,qld,19041007.0,5476244,44153,691
grossman,tara,1.0,denovan circuit,greigs flat,eastern heights,2560,qld,19500910.0,2324149,8977,692
williiam,dowley,15.0,terewah circuit,,poolaijelo,4108,sa,19230716.0,7001131,23311,350
olivia,felmingham,32.0,anglissp lace,cranbrook,annandale,2604,nsw,19860811.0,5148092,84761,693
jasmyn,seehusen,198.0,alfred hill drive,sun city resort,elwood,3496,vic,19440409.0,4444319,93336,589
joshua,villeiqrs,273.0,goyder street,loughmore,adelaide,2484,vic,19730628.0,9653869,15329,694
joshuaz,parr,36.0,,corcoran,bungwahl,2777,vic,19950525.0,7710315,79755,695
benjamin,akkermans,20.0,macedon crescent,,regentville,4507,sa,19940816.0,6687966,88993,696
dominic,flockhart,2.0,oxley street,clear creek,norhtgate,3000,wa,19890621.0,5173538,60536,148
seamus,nguyen,98.0,,chobe,yarraville,2107,wa,19960816.0,9574103,21985,697
zachary,clarke,2.0,port jackson circuit,masonic memorila village,minchinbury,4470,sa,19731003.0,4301419,55083,698
david,huddy,40.0,mina wylie crescent,,thornbury,3281,qld,19840327.0,3069553,46832,699
tyler,statton,4.0,paul coe crescent,belgrave arcade,kingston,3179,vic,19701224.0,9336789,47169,700
benjamin,brock,25.0,rossarden street,north road,mosman,3953,qld,19601113.0,6718212,80875,701
kirra,berry,199.0,davenport street,bryntirion,rylstone,4703,wa,19530221.0,1915716,7072,702
jade,zimmermann,33.0,nepean place,holloway haven,scarborough,4573,nsw,19351222.0,8890859,83244,703
lachlan,mcgregor,,,ocean star villas,eastwood,2615,nsw,19051211.0,2003775,90747,704
carlin,dabinet,8.0,holden ipace,park lane estate,southern river,2730,sa,19550806.0,9757461,28793,705
chloy,mcphie,5.0,robertson street,langleigh,swanwick,4262,qld,19340310.0,5324627,62928,706
oscar,ferris,1.0,shore place,leisure living vlge,hamilton,3128,nt,19080521.0,3835190,24953,707
stella,chandker,50.0,ebden street,rosetta village,harbord,6304,vic,19741215.0,8164610,87729,35
flynn,weller,23.0,woollum street,allu nga,surreyh ills,2870,qld,19700106.0,9438862,12778,708
melanie,bourras,74.0,inwood place,gorgecreek rchards,hoppers crossing,2203,nsw,19971016.0,9221934,43518,709
noah,campbell,9.0,pryor place,,montagu bay,4059,vic,19290211.0,5025398,55929,710
benjamin,weller,33.0,swanton street,morago,,7305,nsw,19540118.0,7771880,18319,711
de vmga,kayne,25.0,canna n crescent,glen rock,rivett,4020,vic,19581106.0,7272068,87642,712
morrison,grace,66.0,quinlivan crescent,greengrove,caulfield north,4120,vic,19460909.0,3999669,53885,713
joshua,beadle,19.0,williamson street,lignum,orange,3193,vic,19570308.0,1429771,51334,714
jemma,vincent,4.0,bangalay crescent,rivergum van park,wentworth falls,2572,sa,19480628.0,5700864,65295,715
kaela,webb,85.0,mehaffey crescent,palestine,surry hills,3194,nsw,,8660997,83953,716
anton,miles,45.0,de little c ircuit,hamilton park,cooroy,4202,vic,19100212.0,9909697,89139,717
caleb,challenor,1.0,wellingtfn street,kinrossfarm,cronulla,5109,vic,19600213.0,2694239,79256,718
isabella,clarke,59.0,gillespie street,flr 5 john flynnkmedical centre,mount victoria,2147,act,19950110.0,4409764,8006,719
ethan,callahan,298.0,meyrickplace,,tarragindi,3961,nsw,19901001.0,4525246,73161,720
imogen,doody,33.0,byrnes place,,kilsyth,2176,tas,19220807.0,7959638,29049,721
jack,artis,49.0,macfarland crescent,tulla burra,springfield,4019,vic,19810320.0,5959224,52058,722
liam,grubb,63.0,rowell place,argyle,kotara south,3002,qld,19660416.0,6643838,19308,249
madisoen,welller,11.0,coplanddrive,,birmingha m gardens,4350,wa,19341024.0,6281502,54845,61
jake,grosser,3.0,lexcen avenue,horseshoe bend,bomaderry,2161,vic,19670227.0,8695287,33435,118
riley,george,2.0,alice jackson crescent,jewells medical centre,athelstone,3912,,19901121.0,9927435,89303,723
lily,sideris,16.0,hallstrom circuit,joro be,surry hills,6012,nsw,19150910.0,9848730,38260,322
tristan,ca rp,222.0,marchant circuit,georgdeale,campbelltown,2193,nsw,19281204.0,1421166,15879,724
cameron,bishop,4.0,chillagoe street,edith hall,numeralla,6152,sa,19290325.0,8928429,49039,487
coleman,jack,312.0,andersom street,,north sydney,2486,nsw,19851226.0,3498401,37701,725
indyana,stagoll,13.0,stockdale street,norfolk park,morwell,4101,qld,19951122.0,3143553,60116,726
noah,gamlin,18.0,canning street,villa 183,mosman,7202,sa,19091023.0,6692641,27013,727
isabella,whitei,,monaro highway,jarara,beaumaris,2619,nsw,19521225.0,6048503,40355,728
drechsler,samantha,52.0,mara place,tower b rockdale,rochedale south,5495,nsw,19330422.0,8882745,40043,729
andrew,gilbertson,12.0,anembo street,apt 312 the rock wall,nedlands,4702,nsw,19460513.0,1862712,60159,438
riddell,kirra,27.0,rene wtreet,medical centre,burpengary,2747,qld,19140824.0,2031732,48834,730
holly,stoker,5.0,ballumbiw street,chetwyhd,kirrawee,6009,vic,19300121.0,8123371,20996,246
hugh,rusack,19.0,biddell place,kolora,carlingford,4744,nsw,19970623.0,7482555,72298,731
emalcene,ryan,26.0,lance hill avenue,cameroo,forest hill,3070,nsw,19720615.0,5185238,6171,105
sophie,butlock,6.0,boolee street,,port fairy,6076,sa,19361014.0,3859714,88732,371
domenique,paterson,15.0,merewether pu blic school,lubum aplace,greensborough,3138,qld,19160017.0,4957843,71300,38
alicia,webb,1215.0,fisken crescent,,hurlstone park,2144,qld,19990527.0,9846267,69880,732
connor,rawlings,70.0,corin place,oxford,kuraby,4216,qld,19330925.0,2464828,78481,158
davi d,huddy,1.0,mina wylie crescent,arthella,thornbury,3281,qld,19840327.0,3069553,91055,699
madeline,belling,14.0,jackie howe crescent,golambio cottage,picnic point,4053,nsw,19600218.0,8795054,30829,733
aleish,mcelwee,34.0,osburn drive,parraweena,condell park,5237,act,19440525.0,2532051,15094,71
samuel,ryan,512.0,hilder street,state bank arcade,davistown,2300,sa,19830613.0,5653742,15685,734
ethan,pringle,2.0,o'connell street,,urana,5108,qld,19510914.0,6472293,93422,650
mikaela,white,4.0,anzac park,villa 5,blair athol,4557,vic,19811017.0,4853274,64284,735
jacob,marampon,39.0,lowanna street,glenveagh,keysborough,3806,vic,19820914.0,7380723,55584,212
cooper,coxon,8.0,downard sstreet,homew ood,laaneocorie,3128,sa,19070923.0,5430172,79755,695
riley,lodge,22.0,chuculba c rescent,yarramine park,lower tempelstowe,2199,vic,19580921.0,7498288,62817,736
sophie,mason,26.0,untz1,may mills close,craigomre,2622,nsw,19700207.0,1317086,19797,737
tara,grossman,1.0,denovan circuit,greigs flat,eastern heights,2560,qld,19500910.0,2324149,45197,738
jonah,nguyen,8.0,dalley crescent,,kingaroy,2607,nsw,19591019.0,9550440,27842,155
samatnha,drechsler,52.0,mara place,tower b rockdale,rochedale south,5459,nsw,19330422.0,8882745,65403,739
henry,bloomfield,20.0,bendigo retirement village,mcdougal lstreet,rosebud,4563,wa,19321112.0,1646845,76126,426
aloysius,jolly,14.0,morehead street,gleneira,scarborough,4078,qld,19170308.0,2866938,18246,740
indiana,goonan,4.0,sparkes close,corinell aglen,carnegie,3135,nsw,19610313.0,9556041,35532,741
tyler,george,41.0,murrung crescent,elizabeth residential village,beaconsfield upper,5606,nsw,19870504.0,7345262,69803,742
jackson,eglinron,840.0,mountview,fowles treet,burlei gh heads,2803,sa,19830807.0,2932837,67843,743
jackaon,prestia,29.0,priddle sjtreet,mirilla,graceville,3012,qld,19260601.0,5613219,8310,299
connor,beckwith,10.0,heard street,,mill park,5031,nsw,19081103.0,2209091,64221,744
eboni,pantazooulos,20.0,allottj place,wyoming park,aldgate,2235,sa,19860807.0,9030076,88250,745
coby,berry,27.0,heagney crescent,,cremorne,3078,qld,19260518.0,1390881,13339,281
james,orchard,3.0,carnall close,kooyong,ballina,3095,qld,19970331.0,7947155,63124,746
bethany,glennon,17.0,davice place,,robinson,2502,nsw,19111117.0,9197460,89786,747
ethan,stubbs,9.0,prichard circuit,garden creek,sefton,4207,vic,19390912.0,7508887,72265,748
christopher,vilums,10.0,rene street,,crows nest,4754,sa,19851127.0,5181141,78008,749
rile,meadows,212.0,chuculbaic rescent,yarraminr park,lower templestowe,2199,vic,19580921.0,7498288,82563,750
harley,mccarthy,177.0,pridham street,milton,marsden,3167,nsw,19080419.0,6089216,39470,2
jake,grosser,3.0,lexcen avenue,horseshoe bend,bomaderry,2161,vic,19670227.0,6467209,5469,118
william,shepherd,,horsley crescent,annesley,clayton,2203,qld,19920927.0,8560358,70708,751
sophie,samios,101.0,pridham street,calandra,cronulla,2580,wa,19591009.0,3827802,1464,752
westbrook,jake,24.0,booroondara street,ascot park,salisbury east,2704,nsw,19001115.0,2330929,34721,753
ella,eyles,30.0,cinema centrd bldg,roothqlace,yeronag,3730,nsw,19550910.0,8011704,30665,754
joel,ejlak,61.0,brentwot d vlge,eppalock street,taigum,2644,nsw,19351102.0,1021508,83392,679
madisn,matthews,4.0,sugarloaf circuit,bonny doon,burpengary,2090,vic,19290710.0,1552042,11369,755
dillon,meaers,40.0,murphy street,the swamp,salisbury east,7305,sa,19851018.0,8097614,65655,756
brooklyn,naar-cafentas,210.0,duffy street,tourist psrk,berwick,2481,nsw,,3624304,9751,757
kathleen,povey,63.0,ashburner street,rsde 668,revesby,2902,nsw,19710923.0,9885750,99483,572
tanar,nguyen,8.0,jerrabomberraavenue,brentwood village,broome,4022,vic,19011002.0,5998380,63302,758
marley,hentze,94.0,tardent street,loma langie,seabton,2758,nsw,19510221.0,9837981,41628,759
victoria,soden,10.0,ainslie avenue,wildefell,karridale,3130,sa,19870610.0,2663036,46111,760
breeanne,dibben,6.0,collicott circuit,berkley lodge,loganholme,2317,nsw,19241203.0,6261894,71734,370
bianca,dixon,12.0,bingley crescent,baptist retirement,woodbridge,6021,wa,19921029.0,3197244,78675,761
jacob,,58.0,solomon crescent,curtin house,harbord,2602,nsw,19741113.0,5508111,37094,762
mason,campbell,12.0,waratah st reet,st francis vlge,bull creek,3401,nsw,19660827.0,4225051,19887,763
sophie,hobson,113.0,wilkins street,,padstow,3429,vic,19251103.0,4286830,97527,764
lard,slape,,lamingtnn street,rosehill,albany creek,6002,wa,19010927.0,2204911,36264,30
renee,white,22.0,warrego circuit,burnsid e,bayswater,3040,nt,19160822.0,2502613,35032,131
sachin,garcia,36.0,tanderra crescent,villa 2,geraldton,2705,sa,19320919.0,2886997,24547,765
mitchell,corbin,450.0,magenta square,rsl building,goornong,6051,qld,19120407.0,6571360,79955,766
aimee,fitzpatrick,7.0,rubbo crescent,kookaburra village,annandale,3150,nsw,19800311.0,8534023,40299,767
taylah,manson,10.0,withers place,broadwater caravn park,bunbury,2125,nsw,19220325.0,5517253,42451,768
toby,maczkowiack,8.0,kanooka street,carinya vlge,canley vale,3219,,19000328.0,7799632,5215,151
adele,bullock,9.0,shepherdson place,rosedale,camira,2170,vic,19071006.0,1839802,42763,769
ryan,emiily,9.0,barlow street,,condon,4030,nsw,19830414.0,7013840,76014,770
chloe,davdi,1.0,glenbrae,mcluckie crescent,murdoch,3143,sa,19320323.0,8644609,14730,771
kira,tereund,24.0,baradacrescent,,dulwich cill,2529,nsw,19250222.0,3054502,46558,565
zane,wilkins,,jervois street,cerbrus,coolaroo,6208,nsw,19471017.0,7918563,98408,491
carmne,brakhn,40.0,madigan street,,ekibwin,3196,nsw,19700723.0,7357958,75330,286
beau,mcdermid,24.0,london circuit,terawah station,clareville,3677,nsw,19630721.0,2005942,98811,772
shepherd,sea,7.0,beazleykcrescent,tintagel,broadford,4076,act,19561005.0,2726910,77851,773
rees,zachary,4.0,hicks street,ferndale,camira,3016,vic,19660116.0,8690395,94248,774
jesse,tenant,33.0,baldwin drive,anzac house (cnr archer s street,mansfield,2500,nsw,19760607.0,9948416,99286,775
lauren,frahn,5.0,solomon crescent,stoney creek,leichhardt,2570,vic,19180701.0,3134475,53385,776
sophie,,113.0,wilkins street,envi rona,papdstow,3429,vic,19251103.0,4286830,96673,777
,moody,7.0,mceachern crescent,bryntirion,cooma,2299,nsw,19731116.0,8269253,4634,778
david,knapman,66.0,blamey crescent,mira monte,mount pleasant,4103,wa,19631011.0,6091304,52886,779
callum,doody,11.0,emery s treet,texas station,orange,7021,sa,19760824.0,8675169,42602,780
cooper,boyle,10.0,degraves crescent,,adaminaby,2232,nsw,19901020.0,5310288,20196,781
annabelle,weetra,4.0,firbank close,,riverhills,2025,sa,19490420.0,4285598,40777,603
lukar,rees,364.0,solly place,wyoming park,strathbogie,2327,vic,19000103.0,3099843,67353,782
camerln,bishop,4.0,chillagoe street,edit heall,numeralla,6153,sa,19290325.0,8928429,67919,487
sophie,reid,37.0,hawkins close,greenhils,toowong,2268,wa,19210624.0,9022097,59631,170
teneille,lamprey,36.0,forrest place,terra nsotra,bayswater north,4160,vic,19281101.0,9687938,75103,783
,kidsoey,18.0,disney court,ramano esttae locn 1,labrador,2281,vic,19450301.0,2092869,51870,784
erni,humphreys,11.0,endeavour street,lake macqupride vlge,umina beach,4873,nsw,19670519.0,5094045,92653,184
emiily,redmond,10.0,woodhouse place,wahronga,firle,2483,vic,19381023.0,3563291,37290,785
tate,hingston,159.0,oxley street,,kurri kurri,5045,nsw,19680521.0,1954716,68678,86
nathan,daehn,204.0,sternberg crescent,home vsle,adamstown,2617,vic,19110417.0,4227775,65499,499
james,quinzi,6.0,fawkner street,streanshalh,yass,3142,tas,19860208.0,9289559,68023,786
pettigrove,georgia,5.0,sinclair street,pinda,prairie,2478,nsw,19231019.0,9695933,44081,787
breony,dixvon,39.0,downard street,,kellyville,4224,vic,19351022.0,7462490,72751,788
aiden,ryan,292.0,gundulu place,honey patch,mosman,3076,wa,19360524.0,3804933,7242,75
tynan,blacklow,15.0,annear place,nioka,rheola,4034,nsw,19690520.0,8046280,79993,789
jacob,white,24.0,hacke place,belgrade park,bayview heights,2229,vic,19590228.0,8872631,28413,790
samuel,walls,74.0,shoalhaven avenue,clear creek,raceview,3223,nsw,19370409.0,4859969,81979,239
riley,lodge,221.0,chuculba crescent,yarramine park,lower templestowe,2199,vic,19580921.0,7498288,18368,736
kirra,ryan,5.0,powers place,sawtell vet hosptl & clnc,barwon heads,4551,qld,19741118.0,8504134,77383,791
karli,mlilar,1.0,bonney street,st francix vlge,preston,4814,vic,19730813.0,3731194,25307,546
kiera,green,,jervoisstreet,,coolar oo,6208,nsw,19471017.0,7918563,41877,792
nicholas,shepherd,36.0,jerrabomberra avenue,sec 1,altona north,3123,nsw,19441101.0,3789481,46726,793
kyle,richmond,38.0,hammond close,oakdale,lindum,6110,sa,19420519.0,7435722,10522,794
benjamin,mugo,302.0,arlington,peat place,frankston,4518,nsw,19101008.0,5994946,65871,133
joshua,nguyen,11.0,howie court,border park,seven hills,6163,sa,19730730.0,8078358,981,795
danny,petersen,12.0,rawdon hill,cade place,minto,3029,wa,19441022.0,6090944,92211,796
nathsn,morrison,59.0,peppin place,,eaglehawk,6172,qld,19471203.0,5567390,44409,797
jayden,glass,250.0,warrego circuit,sec 202,frankston,6210,qld,19640219.0,6764035,93461,798
macy,klemm,20.0,bonython street,,aitkenvale,2485,vic,19970312.0,7990048,41515,799
caresse,lyden,13.0,nemarang crescent,,,3199,sa,19250803.0,3017029,59582,800
charlotte,glass,3.0,sculptor street,green fafrm mates,hahndorf,2581,qld,19510713.0,3792276,21049,801
brooke,nguyen,,truganini place,tallingap ark,chelsea heights,6062,vic,19240812.0,8781682,57208,802
max,campbell,18.0,axon ftreet,wandana,vermont,4128,vic,19640314.0,5229727,97799,803
courtney,brain,72.0,bailey place,bandera,goovigen,7330,vic,19480711.0,7816261,66866,804
lily,petersen,13.0,bissenberger crescent,,melville,2250,,19020326.0,3851424,82627,176
,matthew,1.0,gellibrand street,grandview,carnegie,4011,nsw,19710126.0,5651019,70434,805
anita,catherwood,5.0,nish fplace,talonmane,emerald,3073,nsw,19420708.0,7373271,11018,806
sian,beelitz,3.0,ashkanasy crescent,miowdra,sylvania,5042,nsw,19510904.0,3279804,41845,140
fraser,tadege,,mcinnes treet,,scarborough,2870,nsw,19001013.0,3817644,27915,128
millr,egan,162.0,fergusson crescent,john flynn meidcal centre,como,5280,nsw,19700305.0,5022596,11334,807
oliver,blake,8.0,outtrim avenue,hd allenby,st luia,2298,qld,19891203.0,4307988,82447,808
emma,lablack,15.0,henrys treet,,drysdale,2570,nt,19500212.0,1009364,43837,809
tynan,abera,16.0,hainesstreet,,ballarat,2303,nws,19370412.0,6873174,98365,810
